document_id,meeting_id,title,document_type,file_name,file_url,upload_date,doc_date,notes
105,105,PZ&DB Meeting Minutes - 2021-05-11,Minutes,05112021 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/PZDB%20Minutes/05112021%20PZDB%20Minutes.pdf,,2021-05-11,
106,106,PZ&DB Meeting Minutes - 2025-05-13,Minutes,05132025 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/PZDB/05132025%20PZDB%20Minutes.pdf,,2025-05-13,
107,107,PZ&DB Meeting Minutes - 2024-05-14,Minutes,05142024 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/05142024%20PZDB%20Minutes.pdf,,2024-05-14,
108,108,Village Council Meeting Minutes - 2017-05-15,Minutes,051517 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2017%20Minutes/Council/051517%20Council%20Meeting%20Approved%20Minutes.pdf,,2017-05-15,
109,109,Village Council Meeting Minutes - 2015-05-15,Minutes,05152015 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/05152015%20minutes.pdf,,2015-05-15,
110,110,Village Council Meeting Minutes - 2024-05-15,Minutes,05152024 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/05152024%20minutes.pdf,,2024-05-15,
111,111,Village Council Meeting Minutes - 2017-05-17,Minutes,051717 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2017%20Minutes/Council/051717%20Council%20Meeting%20Approved%20Minutes.pdf,,2017-05-17,
112,112,Village Council Meeting Minutes - 2023-05-17,Minutes,05172023  minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/05172023%20%20minutes.pdf,,2023-05-17,
113,113,Village Council Meeting Minutes - 2016-05-18,Minutes,051816 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/051816%20Council%20Meeting%20Approved%20Minutes.pdf,,2016-05-18,
114,114,Village Council Meeting Minutes - 2022-05-18,Minutes,05182022 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/COUNCIL/05182022%20minutes.pdf,,2022-05-18,
115,115,Village Council Meeting Minutes - 2021-05-19,Minutes,05192021 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/05192021%20minutes.pdf,,2021-05-19,
116,116,Village Council Meeting Minutes - 2015-05-20,Minutes,052015 Regular Meeting Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/052015%20Regular%20Meeting%20Minutes.pdf,,2015-05-20,
117,117,Village Council Meeting Minutes - 2025-05-21,Minutes,05212025.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/05212025.pdf,,2025-05-21,
118,118,Village Council Meeting Minutes - 2016-05-24,Minutes,052416 Council Workshop Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/052416%20Council%20Workshop%20Meeting%20Approved%20Minutes.pdf,,2016-05-24,
119,119,Zoning Hearing Minutes - 2017-05-24,Minutes,052417 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2017%20Minutes/Council/052417%20Council%20Meeting%20Approved%20Minutes.pdf,,2017-05-24,
